,Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,Rating,Votes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
tt0072562,The Ladies Man,"$13,616,610","2,043","$13,616,610",Oct 13,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl811566593/,24000000,Comedy,,8.1,41830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075860,Close Encounters of the Third Kind,"$16,172,445",650,"$116,395,460",Nov 16,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl340428289/,20000000,Drama Sci-Fi,,7.6,181319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075860,Close Encounters of the Third Kind,"$91,700,143 ",650,"$116,395,460 ",16-Nov,"Columbia Pictures

",https://www.boxofficemojo.com/release/rl340428289/,20000000,Drama Sci-Fi,,7.6,181319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075860,Close Encounters of the Third Kind2017 Re-release,"$3,100,479",901,"$3,100,479",Sep 1,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2214823425/,20000000,Drama Sci-Fi,,7.6,181319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076759,Star Wars: Episode IV - A New Hope,"$30,676,545 ","1,750","$307,263,857 ",25-May,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,8.6,1208482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076759,Star Wars: Episode IV - A New Hope,"$6,760,165","1,750","$307,263,857",May 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2759034369/,11000000,Action Adventure Fantasy Sci-Fi,PG,8.6,1208482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076759,Star Wars: Episode IV - A New Hope1982 Re-release,"$15,145,617","1,070","$15,476,785",Aug 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2725479937/,11000000,Action Adventure Fantasy Sci-Fi,PG,8.6,1208482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076759,Star Wars: Episode IV - A New Hope1997 Special Edition,"$137,690,767","2,375","$138,257,865",Jan 31,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3379725825/,11000000,Action Adventure Fantasy Sci-Fi,PG,8.6,1208482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077631,Grease,"$159,978,870 ",862,"$159,978,870 ",16-Jun,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2052556289/,6000000,Musical Romance,PG,7.2,234922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077631,Grease1998 Re-release,"$28,411,018","2,064","$28,411,018",Mar 27,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2086110721/,6000000,Musical Romance,PG,7.2,234922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077631,Grease2010 Sing-a-long,"$365,802",33,"$365,802",Jul 8,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2102887937/,6000000,Musical Romance,PG,7.2,234922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077631,Grease2018 Re-release,"$1,213,413",735,"$1,213,413",Apr 8,"Fathom Events

",https://www.boxofficemojo.com/release/rl2500232705/,6000000,Musical Romance,PG,7.2,234922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078346,Superman,"$30,561,867 ",817,"$134,218,018 ",15-Dec,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4050814465/,55000000,Action Adventure Drama Sci-Fi,PG,7.3,156895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078346,Superman,"$93,292,767",817,"$134,218,018",Dec 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4050814465/,55000000,Action Adventure Drama Sci-Fi,PG,7.3,156895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078346,Superman2018 Re-release,"$233,585",394,"$233,585",Nov 25,"Fathom Events

",https://www.boxofficemojo.com/release/rl1845921281/,55000000,Action Adventure Drama Sci-Fi,PG,7.3,156895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078723,1941,"$31,755,742",325,"$31,755,742",Dec 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2034337281/,35000000,Action Comedy War,,5.8,30912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
